summary,city,state,date_time,shape,city_latitude,city_longitude
Very bright white light with red and green lights that changed shapes and stayed in area for more than an hour,Cowiche,WA,2015-06-06T23:00:00,changing,46.6655,-120.7941
UFO sighting and possible abduction with time loss and distance teleportation.,Olympia,WA,2015-01-02T19:21:00,light,47.03031595092024,-122.89693098159509
"3 silver, shiny, cigar-shaped craft over Discovery Bay, WA, hovered, accelerated at incredible rate, and disappeared.",Port Townsend,WA,1980-10-15T10:00:00,cigar,48.117,-122.76049999999998
"Bright light, seen from Arlington facing west looking towards Camano Island area",Arlington,WA,2015-06-07T23:00:00,circle,48.1853,-121.67780000000002
Large flying object with green and red lights in rectangular shape.,Redmond,WA,2015-04-29T01:23:00,rectangle,47.679040334236674,-122.11505415537488
Black transparent triangle shaped aircraft with bright white lights,Seattle,WA,2015-02-15T00:30:00,triangle,47.60904638888889,-122.32602834595959
Green light thought to be plane traveled across the sky in half a second.then back across the sky in the direction it came from. Hovere,Tacoma,WA,2015-05-01T21:03:00,light,47.21257223776224,-122.4597204895105
Bright light in front of cloud east of Spokane,Spokane,WA,2015-06-09T07:45:00,light,47.68357629392971,-117.38633105431309
"Small distant luminescent sphere, looking somewhat like a star but much larger and during mostly daylight.",Moses Lake,WA,1999-07-25T20:40:00,sphere,47.1901,-119.3074
"Saw a stationary point of light, which was joined by two others forming a perfect triangle.",Port Hadlock,WA,2015-04-06T23:30:00,light,48.0047,-122.7495
